 Cluster             RA        DEC       l       b       Rsun  ERsun    R_GC   <RV>   ERV        mualpha        mu_delta  rhopmrade   X      DX      Y      DY      Z      DZ        U      DU        V       DV         W      DW       RPERI           RAPO\
  Name                                                      [kpc]       [kpc] [km/s] [km/s]     [mas/yr]        [mas/yr]            [kpc]   [kpc]  [kpc]   [kpc]  [kpc]  [kpc]    [km/s]  [km/s]    [km/s]  [km/s]    [km/s]  [km/s]     [kpc]          [kpc]\
IC_1257         261.785431  -7.093056  16.528  15.145   26.59   1.43   19.27 -137.97  2.04   -1.007  0.040   -1.492  0.032   0.10  -16.43   1.32    7.30   0.39    6.95   0.37    55.51    2.45     -3.71    4.27    -15.90    4.67    0.94  0.25    20.11   1.36\
Ter_2           261.887917 -30.802333 356.319   2.298    7.75   0.33    0.74  134.56  0.96   -2.170  0.041   -6.263  0.038   0.05    0.45   0.32   -0.50   0.02    0.31   0.01  -132.60    0.97      8.22    1.44    -48.77    1.47    0.16  0.04     0.89   0.23\
NGC_6366        261.934357  -5.079861  18.409  16.036    3.44   0.05    5.23 -120.65  0.19   -0.332  0.025   -5.160  0.024   0.01    5.04   0.05    1.05   0.02    0.95   0.01    65.20    0.24    147.18    0.39    -62.20    0.39    2.21  0.03     5.71   0.04\
Ter_4           262.662506 -31.595528 356.024   1.308    7.59   0.31    0.82  -48.96  1.57   -5.462  0.060   -3.711  0.048   0.19    0.61   0.31   -0.53   0.02    0.17   0.01    55.02    1.57     36.73    1.88     96.93    2.05    0.19  0.05     0.86   0.21\
HP_1            262.771667 -29.981667 357.425   2.115    7.00   0.14    1.26   39.76  1.22    2.523  0.039  -10.093  0.037   0.04    1.19   0.14   -0.31   0.01    0.26   0.01   -49.62    1.21     16.18    1.26   -244.52    1.27    0.52  0.16     1.87   0.15\
FSR_1758        262.800000 -39.808000 349.217  -3.292   11.09   0.74    3.46  227.31  0.59   -2.881  0.026    2.519  0.025  -0.01   -2.69   0.72   -2.07   0.14   -0.64   0.04  -250.51    0.63    235.21    1.34    193.01    1.35    3.63  0.62    13.27   3.43\
NGC_6362        262.979096 -67.048332 325.555 -17.570    7.65   0.07    5.20  -14.58  0.18   -5.506  0.024   -4.763  0.024  -0.00    2.16   0.05   -4.12   0.04   -2.31   0.02   117.15    0.56     40.42    0.74     99.90    0.83    2.65  0.03     5.24   0.02\
Lil_1           263.352333 -33.389556 354.840  -0.161    8.06   0.34    0.74   60.36  2.44   -5.403  0.109   -7.431  0.077   0.30    0.15   0.34   -0.72   0.03   -0.02   0.00   -39.74    2.46   -102.38    3.33     25.72    3.83    0.09  0.05     0.86   0.09\
NGC_6380        263.618611 -39.069530 350.182  -3.422    9.61   0.30    2.15   -1.48  0.73   -2.183  0.031   -3.233  0.030   0.01   -1.27   0.30   -1.64   0.05   -0.57   0.02    20.39    0.76     77.45    1.37     11.55    1.40    0.30  0.05     2.10   0.23\
Ter_1           263.946667 -30.481778 357.558   0.991    5.67   0.17    2.52   56.75  1.61   -2.806  0.055   -4.861  0.055   0.01    2.51   0.17   -0.24   0.01    0.10   0.00   -61.48    1.60     99.16    1.49      1.27    1.48    0.59  0.10     2.68   0.20\
Ton_2           264.039293 -38.540925 350.805  -3.414    6.99   0.34    1.76 -184.72  1.12   -5.904  0.031   -0.755  0.029   0.03    1.29   0.33   -1.11   0.05   -0.42   0.02   182.15    1.12    155.86    0.99    169.59    1.01    1.82  0.14     3.05   0.31\
NGC_6388        264.071777 -44.735500 345.556  -6.738   11.17   0.16    3.99   83.11  0.45   -1.316  0.026   -2.709  0.026  -0.01   -2.57   0.16   -2.77   0.04   -1.31   0.02   -49.56    0.57     78.56    1.34    -19.19    1.37    1.15  0.03     4.07   0.13\
NGC_6402        264.400651  -3.245916  21.324  14.804    9.14   0.25    3.97  -60.71  0.45   -3.590  0.025   -5.059  0.025   0.01   -0.06   0.23    3.21   0.09    2.34   0.06   -46.73    0.63    -20.82    1.05     19.78    1.08    0.53  0.07     4.28   0.15\
NGC_6401        264.652191 -23.909605   3.450   3.980    8.06   0.24    0.75 -105.44  2.50   -2.748  0.035    1.444  0.034   0.01    0.15   0.23    0.48   0.01    0.56   0.02   101.55    2.52    236.46    1.31    117.97    1.35    0.29  0.10     1.55   0.13\
NGC_6397        265.175385 -53.674335 338.165 -11.960    2.48   0.02    6.01   18.51  0.08    3.260  0.023  -17.664  0.022  -0.00    5.92   0.02   -0.90   0.01   -0.51   0.00    58.31    0.13    106.60    0.25   -130.52    0.26    2.61  0.02     6.30   0.01\
Pal_6           265.925812 -26.224995   2.090   1.779    7.05   0.45    1.19  177.00  1.35   -9.222  0.038   -5.347  0.036   0.03    1.14   0.45    0.26   0.02    0.22   0.01  -194.09    1.35    -54.82    1.22    181.52    1.27    0.32  0.11     2.10   0.70\
NGC_6426        266.227960   3.170142  28.087  16.234   20.71   0.35   14.45 -210.51  0.51   -1.828  0.026   -2.999  0.026   0.02   -9.36   0.30    9.36   0.16    5.79   0.10    11.20    1.44   -149.57    2.32    -28.47    2.49    3.64  0.39    16.97   0.54\
Djor_1          266.869583 -33.066389 356.675  -2.484    9.88   0.65    1.82 -359.18  1.64   -4.693  0.046   -8.468  0.041   0.02   -1.68   0.65   -0.57   0.04   -0.43   0.03   374.13    1.63   -179.25    1.99      6.28    2.11    1.20  0.31     9.24   3.65\
